City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Lekoni,GA,2022-03-12 01:05:59,-1.5843,14.2591,73.63,87,100,3.02
201,Cintalapa,MX,2022-03-12 01:01:24,16.6951,-93.7272,73.81,62,8,7.2
202,Burnie,AU,2022-03-12 01:05:59,-41.0667,145.9167,63.61,59,11,4.52
203,Yatou,CN,2022-03-12 01:05:12,37.15,122.3833,49.89,74,100,9.19
204,Narsaq,GL,2022-03-12 01:03:13,60.9167,-46.05,7.02,88,95,4.0
205,Ancud,CL,2022-03-12 01:02:13,-41.8697,-73.8203,54.55,91,0,4.32
206,Hobyo,SO,2022-03-12 01:06:00,5.3505,48.5268,76.87,71,100,11.34
207,Saskylakh,RU,2022-03-12 01:06:01,71.9167,114.0833,-16.33,94,100,3.33
208,Sao Desiderio,BR,2022-03-12 01:06:01,-12.3633,-44.9733,74.77,71,51,3.18
209,Miranda,CO,2022-03-12 01:06:02,3.2499,-76.2281,67.86,82,100,3.76
210,Coihaique,CL,2022-03-12 01:03:02,-45.5752,-72.0662,57.81,97,4,5.77
211,Tadine,NC,2022-03-12 01:06:02,-21.55,167.8833,81.57,74,62,8.61
212,Damietta,EG,2022-03-12 01:06:03,31.4165,31.8133,51.28,60,100,15.19
213,Ust-Omchug,RU,2022-03-12 01:06:04,61.15,149.6333,13.46,84,100,6.17
214,Vagur,FO,2022-03-12 01:06:04,61.4732,-6.8119,43.47,91,100,40.62
215,Xining,CN,2022-03-12 01:06:04,36.6167,101.7667,40.5,37,7,1.74
216,Tiksi,RU,2022-03-12 01:06:05,71.6872,128.8694,-10.97,89,100,8.43
217,Thyboron,DK,2022-03-12 01:06:05,56.6985,8.2124,35.19,59,0,24.38
218,Kununurra,AU,2022-03-12 01:06:06,-15.7667,128.7333,80.58,83,76,8.05
219,Vostok,RU,2022-03-12 01:06:06,46.4856,135.8833,23.13,78,100,4.27
220,Zhaodong,CN,2022-03-12 01:06:07,46.0833,125.9833,27.68,80,100,7.45
221,Amapa,BR,2022-03-12 01:07:07,1.0,-52.0,71.15,92,100,1.61
